garagem;valor_notas_recolhidas;valor_abastecimento_cancelado;valor_credito_estorno;valor_a_pagar_com_notas_e_cancelados;valor_retido_sem_nota;total_liquido_garagem
GRITSCH - CWB (BASE);98186.26;0;0;98186.26;1076.34;99262.60
GRITSCH - LDB;37374.49;320.84;-320.84;37374.49;0;37374.49
GRITSCH - POA;35087.63;250.32;-250.32;35087.63;628.52;35716.15
GRITSCH - FLN;26729.62;0;0;26729.62;0;26729.62
GRITSCH - GOI;25769.69;217.44;0;25987.13;0;25987.13
GRITSCH - BLN;18574.23;0;0;18574.23;0;18574.23
GRITSCH - SAO (PERUS);17110.86;0;0;17110.86;0;17110.86
GRITSCH - CTB;16752.40;0;0;16752.40;0;16752.40
GRITSCH - RVD;15626.76;0;0;15626.76;0;15626.76
GRITSCH - CHA;15589.16;0;0;15589.16;0;15589.16
GRITSCH - SNO;13328.44;362.09;0;13690.53;0;13690.53
GRITSCH - CSC;13669.57;0;0;13669.57;0;13669.57
GRITSCH - RDN;11807.55;0;0;11807.55;0;11807.55
GRITSCH - CGR;11655.48;0;0;11655.48;0;11655.48
GRITSCH - MGA;11178.13;0;0;11178.13;0;11178.13
GRITSCH - CGB;11062.36;0;0;11062.36;0;11062.36
GRITSCH - MATRIZ;10269.98;0;0;10269.98;0;10269.98
GRITSCH - CXJ;9895.86;0;0;9895.86;0;9895.86
GRITSCH - PMW;8436.29;0;0;8436.29;0;8436.29
GRITSCH - PET;8337.41;0;0;8337.41;0;8337.41
GRITSCH - CRI;7021.64;0;0;7021.64;0;7021.64
GRITSCH - BSB;6228.63;115.78;0;6344.41;0;6344.41
GRITSCH - PGR;6085.43;0;0;6085.43;0;6085.43
REFERENCIA CURITIBA;4764.40;0;0;4764.40;0;4764.40
GRITSCH - PBC;4268.83;0;0;4268.83;0;4268.83
GRITSCH - GPA;4188.03;0;0;4188.03;0;4188.03
GRITSCH - CWB (DIR);1538.40;0;0;1538.40;0;1538.40
GRITSCH - JOI;1340.16;0;0;1340.16;0;1340.16
GRITSCH - SSA;275.77;0;0;275.77;0;275.77
(29 rows)
