garagem;abastecimento_cancelado_a_pagar;novas_notas_a_pagar;total_a_pagar_leva2;valor_retido_sem_nota
GRITSCH - LDB;2941.78;480.42;3422.20;0
GRITSCH - CWB (BASE);1401.33;1716.01;3117.34;0
GRITSCH - POA;579.62;494.90;1074.52;609.00
GRITSCH - PGR;760.98;148.26;909.24;0
GRITSCH - MGA;666.98;143.29;810.27;0
GRITSCH - FLN;100.00;471.49;571.49;0
GRITSCH - GOI;161.95;404.28;566.23;0
GRITSCH - PET;409.84;123.75;533.59;0
GRITSCH - SAO (PERUS);0;420.61;420.61;0
GRITSCH - RDN;204.76;194.91;399.67;0
GRITSCH - RVD;116.95;213.93;330.88;0
GRITSCH - CTB;0;314.07;314.07;0
GRITSCH - BLN;0;313.66;313.66;0
GRITSCH - GPA;211.85;81.03;292.88;0
GRITSCH - CHA;0;242.26;242.26;0
GRITSCH - SNO;0;220.71;220.71;0
GRITSCH - CSC;0;219.25;219.25;0
GRITSCH - CGR;0;197.29;197.29;0
GRITSCH - MATRIZ;0;144.45;144.45;0
GRITSCH - CGB;0;144.06;144.06;0
GRITSCH - PMW;0;129.07;129.07;0
GRITSCH - CRI;0;112.01;112.01;0
GRITSCH - CXJ;0;109.41;109.41;0
GRITSCH - BSB;0;91.18;91.18;0
GRITSCH - PBC;0;66.85;66.85;0
REFERENCIA CURITIBA;0;20.27;20.27;0
GRITSCH - JOI;0;15.42;15.42;0
GRITSCH - CWB (DIR);0;13.32;13.32;150.08
GRITSCH - SSA;0;4.20;4.20;0
(29 rows)
