titulo_fatura;data_vencimento;id_transacao;data_transacao;placa;nome_posto;cnpj_posto;valor
263144;2026-08-10;24010821;2026-07-21;SFJ5H71;SIM REDE - ARAQUARI (BR 101 SUL) 0158-80 - SC NORTE;07473735015880;2482.63
263144;2026-08-10;24014265;2026-07-21;UBR9B16;SIM REDE - SANTIAGO -018552 - CENTRO RS;07473735018552;285.95
263144;2026-08-10;24070382;2026-07-22;SEP3C43;SIM REDE DE POSTOS - VACARIA 0207-00 - METROPOLITANA / SERRA;07473735020700;147.05
263144;2026-08-10;24153531;2026-07-24;SDR4D32;SIM REDE - POA CEARA 0162-66 - METROPOLITANA / SERRA;07473735016266;257.23
260949;2026-08-03;23644616;2026-07-13;SDP5J32;SIM REDE - HIPICA;07473735025419;628.52
260949;2026-08-03;23699992;2026-07-14;TAJ3D96;SIM REDE - 0245-28 - ANCHIETA;07473735024528;1076.34
258644;2026-07-27;23450529;2026-07-08;SEH4I02;POSTO DUME - XAVANTINA;19770285000178;454.52
256748;2026-07-20;23053607;2026-06-29;SES1B65;SIM REDE - 0231-22 - SANTANA;07473735023122;372.05
256748;2026-07-20;23131366;2026-07-01;SEP6E34;SIM REDE - 0231-22 - SANTANA;07473735023122;236.95
256748;2026-07-20;23220466;2026-07-03;BEB5D96;SIM REDE - LAGOA VERMELHA BR 470 - 0203-79 - CENTRO RS;07473735020379;150.08
254121;2026-07-13;22794123;2026-06-22;SFI6G50;SIM REDE - 0248-70 - ENTRE IJUIS;07473735024870;162.47
254121;2026-07-13;22910526;2026-06-25;SDT4A93;SIM REDE – SOLEDADE 0241-02 - RS;07473735024102;204.94
252016;2026-07-06;22499363;2026-06-15;SDT4A93;SIM REDE - PASSO FUNDO PRACA ITALIA 0109-00 - CENTRO RS;07473735010900;208.98
252016;2026-07-06;22620470;2026-06-18;SDT4A93;SIM REDE - HIPICA;07473735025419;205.87
250045;2026-06-29;22229672;2026-06-08;SES1B65;SIM REDE - 0245-28 - ANCHIETA;07473735024528;713.32
250045;2026-06-29;22229797;2026-06-08;SES1B65;SIM REDE - 0245-28 - ANCHIETA;07473735024528;40.25
250045;2026-06-29;22321008;2026-06-10;BEP1I40;SIM REDE - HIPICA;07473735025419;434.65
250045;2026-06-29;22401064;2026-06-12;SDR4D32;SIM REDE - HIPICA;07473735025419;261.52
247714;2026-06-22;21932588;2026-05-30;SEI5B93;SIM REDE - POA ECO POSTO 0095-61;07473735009561;258.49
247714;2026-06-22;22077147;2026-06-03;SEI5B93;SIM REDE - HIPICA;07473735025419;278.29
246068;2026-06-15;21808393;2026-05-27;SDT4A93;SIM REDE - POA SERTORIO 0163-47 - METROPOLITANA / SERRA;07473735016347;250.34
242811;2026-06-08;21450434;2026-05-16;BEB5D96;SIM REDE - LAGOA VERMELHA BR 470 - 0203-79 - CENTRO RS;07473735020379;182.65
242811;2026-06-08;21512451;2026-05-18;UBR9B05;SIM REDE - PELOTAS BARONESA 0103-06 - CENTRO RS;07473735010306;299.06
240843;2026-06-01;21255012;2026-05-09;SDT0F31;SIM REDE - CACHOEIRINHA 0202-98 - METROPOLITANA / SERRA;07473735020298;293.99
240843;2026-06-01;21400405;2026-05-14;UBF1G87;SIM REDE - CAXIAS FATIMA ALTO 0008-58 - METROPOLITANA / SERRA;07473735000858;389.87
240843;2026-06-01;21401330;2026-05-14;BEB5D93;SIM REDE - CAXIAS FATIMA ALTO 0008-58 - METROPOLITANA / SERRA;07473735000858;322.78
(26 rows)
