26757 - SIM REDE - 0231-22 - SANTANA
Transacao;Data;Cliente;CNPJ Cliente;CNPJ Posto;Estabelecimento;Placa;Hodometro/Horimetro;Litragem;Servico;Combustivel;Valor Total;Preco Litro;Preco Negociado;Lote;Data vinculacao;NF-e;Serie;Chave NF-e;Observacao
23053607;29/06/2026 10:10;TRANSPORTES GRITSCH;90.739.624/0023-23;07.473.735/0231-22;SIM REDE - 0231-22 - SANTANA;SES1B65;144488;53,999;ABASTECIMENTO;Diesel S10;372,05;R$ 6,89;-;2846160;;;;;
23131366;01/07/2026 09:33;TRANSPORTES GRITSCH;90.739.624/0023-23;07.473.735/0231-22;SIM REDE - 0231-22 - SANTANA;SEP6E34;62644;38,718;ABASTECIMENTO;Gasolina Comum;236,95;R$ 6,12;-;2846160;;;;;
;;;;;;;;;;;TOTAL POSTO: 609,00;;;;;;;;

2563 - POSTO NOVO FOXX - REDE ESTRADA
Transacao;Data;Cliente;CNPJ Cliente;CNPJ Posto;Estabelecimento;Placa;Hodometro/Horimetro;Litragem;Servico;Combustivel;Valor Total;Preco Litro;Preco Negociado;Lote;Data vinculacao;NF-e;Serie;Chave NF-e;Observacao
23060476;29/06/2026 14:30;TRANSPORTES GRITSCH;90.739.624/0031-33;02.763.612/0001-61;POSTO NOVO FOXX - REDE ESTRADA;SDU9F93;172045;52,180;ABASTECIMENTO;Gasolina Comum;324,56;R$ 6,22;R$ 6,220;2846160;02/07/2026 14:15;159971;002;41260702763612000161550020001599711575890006;
23064313;29/06/2026 16:27;TRANSPORTES GRITSCH;90.739.624/0031-33;02.763.612/0001-61;POSTO NOVO FOXX - REDE ESTRADA;SES0D47;143566;32,242;ABASTECIMENTO;Diesel S10;218,28;R$ 6,77;R$ 6,770;2846160;02/07/2026 14:16;159973;002;41260702763612000161550020001599731733350052;
23065305;29/06/2026 17:03;TRANSPORTES GRITSCH;90.739.624/0031-33;02.763.612/0001-61;POSTO NOVO FOXX - REDE ESTRADA;SEP6E33;210617;36,471;ABASTECIMENTO;Gasolina Comum;226,85;R$ 6,22;R$ 6,220;2846160;02/07/2026 14:19;159988;002;41260702763612000161550020001599881778049796;
