garagem;abastecimento_cancelado_a_pagar;novas_notas_pos_corte_a_pagar;total_a_pagar_leva2;valor_retido_sem_nota
GRITSCH - LDB;2489.98;15.21;2505.19;0
GRITSCH - SNO;680.83;4.79;685.62;0
GRITSCH - CGB;466.18;3.56;469.74;0
GRITSCH - SAO (PERUS);224.23;7.08;231.31;0
GRITSCH - RVD;206.71;5.60;212.31;0
GRITSCH - CWB (BASE);0;34.91;34.91;2482.63
GRITSCH - POA;0;13.64;13.64;543.18
GRITSCH - FLN;0;11.55;11.55;0
GRITSCH - GOI;0;10.05;10.05;0
GRITSCH - BLN;0;7.26;7.26;0
GRITSCH - CTB;0;6.49;6.49;0
GRITSCH - CHA;0;5.83;5.83;0
GRITSCH - CSC;0;5.06;5.06;0
GRITSCH - RDN;0;4.95;4.95;0
GRITSCH - CGR;0;4.42;4.42;0
GRITSCH - MGA;0;4.22;4.22;0
GRITSCH - MATRIZ;0;3.70;3.70;0
GRITSCH - CXJ;0;3.43;3.43;147.05
GRITSCH - PMW;0;3.38;3.38;0
GRITSCH - PET;0;3.38;3.38;0
REFERENCIA CURITIBA;0;3.11;3.11;0
GRITSCH - PGR;0;2.55;2.55;0
GRITSCH - CRI;0;2.35;2.35;0
GRITSCH - BSB;0;2.01;2.01;0
GRITSCH - PBC;0;1.55;1.55;0
GRITSCH - GPA;0;1.26;1.26;0
GRITSCH - CWB (DIR);0;0.33;0.33;0
GRITSCH - JOI;0;0.29;0.29;0
GRITSCH - SSA;0;0.11;0.11;0
(29 rows)
