placa,id_equipamento,tipo,ultima_posicao,dias_sem_sinal,status
TAI4J01,20211203145644,Passeio,2025-03-10,511,SEM SINAL
SFI8F53,20210430090256,Passeio,2025-11-14,262,SEM SINAL
SFN1H57,20250725124859,Passeio,2025-12-01,245,SEM SINAL
TAZ7D64,20220211111697,Passeio,2026-05-12,83,SEM SINAL
TAY6D07,20220505164704,Passeio,2026-05-16,79,SEM SINAL
SEC7A67,20220610120195,Passeio,2026-07-27,7,SEM SINAL
BEB5D93,20211109182142,Passeio,2026-07-28,6,ATENCAO
SER6J18,20210721151758,Passeio,2026-07-30,4,ATENCAO
SDT0F31,20250402130828,Passeio,2026-08-02,1,OK
SDT4A93,20210909185623,Passeio,2026-08-03,0,OK
RHY6G72,20210322135504,Passeio,2026-08-03,0,OK
RHE2E95,20250807122469,Caminhão,2026-08-03,0,OK
SFG4I55,20231020086439,Passeio,2026-08-03,0,OK
SDV8E51,20221007181312,Passeio,2026-08-03,0,OK
BCV8D45,20250626165558,Caminhão,2026-08-03,0,OK
SFE4B63,20230523104136,Passeio,2026-08-03,0,OK
TAW7H30,20250402130563,Passeio,2026-08-03,0,OK
TAN3I32,20251006153318,Passeio,2026-08-03,0,OK
TAW3H22,20210423090932,Van,2026-08-03,0,OK
SFI8F40,20210617110640,Passeio,2026-08-03,0,OK
BEP1I42,20251006153213,Passeio,2026-08-03,0,OK
BET4E27,20251015104554,Passeio,2026-08-03,0,OK
SFD2H47,20251015104752,Passeio,2026-08-03,0,OK
SEE9E85,20250729083785,Passeio,2026-08-03,0,OK
SDT8J77,20220412155614,Passeio,2026-08-03,0,OK
SFN4F71,20251001144813,Passeio,2026-08-03,0,OK
SFJ2H29,20251001144833,Passeio,2026-08-03,0,OK
SFG5J27,20251015104530,Passeio,2026-08-03,0,OK
SEG5A66,20210805095453,Passeio,2026-08-03,0,OK
SFK0F56,20250818093735,Passeio,2026-08-03,0,OK
SFL2F19,20251006153165,Passeio,2026-08-03,0,OK
BCP0625,20220422122554,Passeio,2026-08-03,0,OK
SFJ4D50,20250402130544,Passeio,2026-08-03,0,OK
SFC4I42,20250917131248,Passeio,2026-08-03,0,OK
SFI4A35,20220418102457,Passeio,2026-08-03,0,OK
SDW2G50,20250729083781,Passeio,2026-08-03,0,OK
TAN9C60,20250718094057,Passeio,2026-08-03,0,OK
SFI6G53,20211018185925,Passeio,2026-08-03,0,OK
SFH5H88,20251015104433,Passeio,2026-08-03,0,OK
RHM5I33,20250725124857,Passeio,2026-08-03,0,OK
SDV8E52,20230606115906,Caminhão,2026-08-03,0,OK
TAX6J56,20230505161955,Passeio,2026-08-03,0,OK
SDW2F01,20250402130557,Passeio,2026-08-03,0,OK
SFL1E46,20251015104777,Passeio,2026-08-03,0,OK
SDR9D23,20250402130589,Passeio,2026-08-03,0,OK
TBJ8E28,20220211190435,Passeio,2026-08-03,0,OK
SED5F26,20220505163854,Passeio,2026-08-03,0,OK
TAP2C36,20211108143343,Passeio,2026-08-03,0,OK
RHL3E04,20250402130789,Caminhão,2026-08-03,0,OK
SES2D41,20250402130704,Caminhão,2026-08-03,0,OK
SET9J51,20220411151249,Passeio,2026-08-03,0,OK
BEP9C20,20251006153242,Passeio,2026-08-03,0,OK
TAP2C40,20230413152090,Passeio,2026-08-03,0,OK
UBF1G84,20250820144335,Van,2026-08-03,0,OK
SDP3I30,20250402130706,Caminhão,2026-08-03,0,OK
TAZ7D65,20230329161912,Passeio,2026-08-03,0,OK
SEP3C39,20211018185818,Passeio,2026-08-03,0,OK
UBF1G83,20251006153290,Van,2026-08-03,0,OK
SFG4I63,20211111194430,Passeio,2026-08-03,0,OK
UBF1G86,20250818093747,Van,2026-08-03,0,OK
TAI4I82,20251006153307,Passeio,2026-08-03,0,OK
UBF1G63,20250917095959,Passeio,2026-08-03,0,OK
TAW3H21,20210721151614,Van,2026-08-03,0,OK
TAZ4A46,20220225155661,Passeio,2026-08-03,0,OK
TAI4I80,20251006153486,Passeio,2026-08-03,0,OK
SFA8J72,20210727095310,Passeio,2026-08-03,0,OK
SFI4A20,20220505165005,Passeio,2026-08-03,0,OK
SFE8H55,20250626165576,Caminhão,2026-08-03,0,OK
SDR8E58,20251006153374,Passeio,2026-08-03,0,OK
TAJ3D96,20250402130714,Caminhão,2026-08-03,0,OK
TAZ4A48,20221201165813,Passeio,2026-08-03,0,OK
BEP1I43,20251006153312,Passeio,2026-08-03,0,OK
SFL6I25,20210423091019,Passeio,2026-08-03,0,OK
TAI9A19,20260302084675,Passeio,2026-08-03,0,OK
SFD3E84,20220505170018,Passeio,2026-08-03,0,OK
UBH2J71,20251006153228,Passeio,2026-08-03,0,OK
SDT4A77,20250402130571,Passeio,2026-08-03,0,OK
TAS4H20,20230704102428,Passeio,2026-08-03,0,OK
SEW5B71,20250402130724,Caminhão,2026-08-03,0,OK
