empresa;placa;modelo;situacao_veiculo;filial_operacional
GRITSCH;SDR8D99;STRADA ENDURANCE 1.4 FLEX 8V CS PLUS;LOCADO;GRITSCH - BLN
GRITSCH;SDT8I68;STRADA FREEDOM 1.3 FLEX 8V  CS PLUS;LOCADO;GRITSCH - BLN
GRITSCH;SDU9E81;SAVEIRO ROBUST 1.6 TOTAL FLEX 16V;LOCADO;GRITSCH - BLN
GRITSCH;TAS4H03;SPRINTER 417 FURGÃO L.T.A. DIESEL (E6);LOCADO;GRITSCH - BLN
GRITSCH;TBE5I63;SAVEIRO ROBUST 1.6 TOTAL FLEX 16V;EM DESMOBILIZAÇÃO;GRITSCH - CGB
GRITSCH;TBE5I67;SAVEIRO ROBUST 1.6 TOTAL FLEX 16V;EM DESMOBILIZAÇÃO;GRITSCH - CGB
GRITSCH;ASU8677;KOMBI FURGÃO 1.4 MI TOTAL FLEX 8V;LOCADO;GRITSCH - CGR
GRITSCH;BEB7C73;FIORINO FURGÃO WORK. HARD 1.4 FLEX 8V 2P;LOCADO;GRITSCH - CGR
GRITSCH;RHB9H89;GOL 1.0 FLEX 12V 5P;LOCADO;GRITSCH - CGR
GRITSCH;SDU9F84;SAVEIRO ROBUST 1.6 TOTAL FLEX 16V;LOCADO;GRITSCH - CGR
GRITSCH;SDU9F94;SAVEIRO ROBUST 1.6 TOTAL FLEX 16V;LOCADO;GRITSCH - CGR
GRITSCH;SEP6E12;SAVEIRO ROBUST 1.6 TOTAL FLEX 16V;LOCADO;GRITSCH - CGR
GRITSCH;SEP6E23;SAVEIRO ROBUST 1.6 TOTAL FLEX 16V;LOCADO;GRITSCH - CGR
GRITSCH;SEP6E24;SAVEIRO ROBUST 1.6 TOTAL FLEX 16V;LOCADO;GRITSCH - CGR
GRITSCH;SEP6E35;SAVEIRO ROBUST 1.6 TOTAL FLEX 16V;LOCADO;GRITSCH - CGR
GRITSCH;SFF9H69;SPRINTER 417 FURGÃO L.T.A. DIESEL (E6);LOCADO;GRITSCH - CGR
GRITSCH;SDU9F67;SAVEIRO ROBUST 1.6 TOTAL FLEX 16V;LOCADO;GRITSCH - CRI
GRITSCH;SFI8F53;SAVEIRO ROBUST 1.6 TOTAL FLEX 16V;LOCADO;GRITSCH - CTB
GRITSCH;TBQ1G07;MASTER 2.3 DCI GRAND FURGÃO16V DIESEL;LOCADO;GRITSCH - CTB
GRITSCH;BCS8D34;DUCATO CHASSI 2.3 16V DIESEL;LOCADO;GRITSCH - CWB (BASE)
GRITSCH;SDR5H06;208 ACTIVE 1.6 FLEX 16V 5P AUT.;LOCADO;GRITSCH - CWB (BASE)
GRITSCH;SEL5J90;MASTER 2.3 DCI GRAND FURGÃO16V DIESEL;LOCADO;GRITSCH - CWB (BASE)
GRITSCH;BEX0F69;JETTA COMFORT. 250 TSI 1.4 FLEX 16V AUT.;LOCADO;GRITSCH - CWB (DIR)
GRITSCH;SDY1F98;COMPASS LIMITED T270 1.3 TB 4X2 FLEX AUT;LOCADO;GRITSCH - CWB (DIR)
GRITSCH;SFI4A19;SPRINTER 417 FURGÃO L.T.A. DIESEL (E6);LOCADO;GRITSCH - CXJ
GRITSCH;UBF1G85;MASTER 2.3 DCI GRAND FURGÃO16V DIESEL;LOCADO;GRITSCH - CXJ
GRITSCH;BDW0J50;CG 160 START;LOCADO;GRITSCH - FLN
GRITSCH;SFJ2H36;STRADA ENDURANCE 1.3 FLEX 8V CS;LOCADO;GRITSCH - GOI
GRITSCH;TAN9H35;SAVEIRO ROBUST 1.6 TOTAL FLEX 16V;NÃO DISPONÍVEL;GRITSCH - GOI
GRITSCH;TBE5I62;SAVEIRO ROBUST 1.6 TOTAL FLEX 16V;EM DESMOBILIZAÇÃO;GRITSCH - GOI
GRITSCH;TBE5I64;SAVEIRO ROBUST 1.6 TOTAL FLEX 16V;EM DESMOBILIZAÇÃO;GRITSCH - GOI
GRITSCH;TBE5I66;SAVEIRO ROBUST 1.6 TOTAL FLEX 16V;LOCADO;GRITSCH - GOI
GRITSCH;SEE9I42;STRADA ENDURANCE 1.4 FLEX 8V CS PLUS;LOCADO;GRITSCH - ITR
GRITSCH;BDZ5E73;CG 160 START;LOCADO;GRITSCH - MATRIZ
GRITSCH;SDR8E07;STRADA ENDURANCE 1.4 FLEX 8V CS PLUS;LOCADO;GRITSCH - MATRIZ
GRITSCH;SDT5A68;STRADA FREEDOM 1.3 FLEX 8V  CS PLUS;LOCADO;GRITSCH - MATRIZ
GRITSCH;SDT8J63;STRADA FREEDOM 1.3 FLEX 8V  CS PLUS;LOCADO;GRITSCH - MATRIZ
GRITSCH;SDU9F96;SAVEIRO ROBUST 1.6 TOTAL FLEX 16V;LOCADO;GRITSCH - MATRIZ
GRITSCH;SEH4I05;MASTER 2.3 DCI EXTRA FURGÃO 16V DIESEL;LOCADO;GRITSCH - MATRIZ
GRITSCH;SEP6E14;SAVEIRO ROBUST 1.6 TOTAL FLEX 16V;LOCADO;GRITSCH - MATRIZ
GRITSCH;SFJ0I28;SAVEIRO ROBUST 1.6 TOTAL FLEX 16V;LOCADO;GRITSCH - MATRIZ
GRITSCH;SFL9J84;SPRINTER 417 FURGÃO CURTO T.B. DIE. (E6);LOCADO;GRITSCH - MATRIZ
GRITSCH;SFM7D72;ARGO DRIVE 1.3 8V FLEX AUT.;LOCADO;GRITSCH - MATRIZ
GRITSCH;SFN5F27;ARGO DRIVE 1.0 6V FLEX;LOCADO;GRITSCH - MATRIZ
GRITSCH;TAL3C97;ARGO DRIVE 1.0 6V FLEX;LOCADO;GRITSCH - MATRIZ
GRITSCH;TAW7H89;DUSTER INTENSE PLUS 1.6 16V FLEX MEC.;LOCADO;GRITSCH - MATRIZ
GRITSCH;TAW9I27;DUSTER INTENSE PLUS 1.6 16V FLEX MEC.;LOCADO;GRITSCH - MATRIZ
GRITSCH;TAX0C66;DUSTER INTENSE PLUS 1.6 16V FLEX MEC.;LOCADO;GRITSCH - MATRIZ
GRITSCH;TAX1C55;DUSTER INTENSE PLUS 1.6 16V FLEX MEC.;LOCADO;GRITSCH - MATRIZ
GRITSCH;UBR9A98;SPRINTER 417 FURGÃO L.T.A. DIESEL (E6);LOCADO;GRITSCH - MATRIZ
GRITSCH;UBR9B06;SPRINTER 417 FURGÃO L.T.A. DIESEL (E6);LOCADO;GRITSCH - MATRIZ
GRITSCH;UBR9B14;SPRINTER 417 FURGÃO L.T.A. DIESEL (E6);LOCADO;GRITSCH - MATRIZ
GRITSCH;UBR9B20;SPRINTER 417 FURGÃO L.T.A. DIESEL (E6);LOCADO;GRITSCH - MATRIZ
GRITSCH;UBR9B23;SPRINTER 417 FURGÃO L.T.A. DIESEL (E6);LOCADO;GRITSCH - MATRIZ
